,cat_periodo,area_carrera_generica,total_alumnos
0,2007,"Agricultura, Silvicultura y Pesca",18011
1,2007,Arquitectura y Construcción,37844
2,2007,Artes,35068
3,2007,Ciencias de la Vida,6115
4,2007,Ciencias Físicas,9298
5,2007,Ciencias Sociales y del Comportamiento,36438
6,2007,Derecho,63470
7,2007,Enseñanza Comercial y Administración,110132
8,2007,Formación de Personal Docente y Ciencias de la Educación,116107
9,2007,Humanidades,12306
10,2007,Industria y Producción,7852
11,2007,Informática,40614
12,2007,Ingeniería y Profesiones Afines,91409
13,2007,Matemáticas y Estadísticas,2481
14,2007,Medicina,106107
15,2007,Periodismo e Información,9245
16,2007,Protección del Medio Ambiente,4194
17,2007,Servicios de Seguridad,14381
18,2007,Servicios de Transporte,1412
19,2007,Servicios Personales,25995
20,2007,Servicios Sociales,18298
21,2007,Veterinaria,10061
22,2008,"Agricultura, Silvicultura y Pesca",17865
23,2008,Arquitectura y Construcción,39221
24,2008,Artes,35273
25,2008,Ciencias de la Vida,6569
26,2008,Ciencias Físicas,10140
27,2008,Ciencias Sociales y del Comportamiento,38202
28,2008,Derecho,48883
29,2008,Enseñanza Comercial y Administración,123371
30,2008,Formación de Personal Docente y Ciencias de la Educación,120654
31,2008,Humanidades,13272
32,2008,Industria y Producción,8820
33,2008,Informática,41577
34,2008,Ingeniería y Profesiones Afines,99297
35,2008,Matemáticas y Estadísticas,2367
36,2008,Medicina,123662
37,2008,Periodismo e Información,8439
38,2008,Protección del Medio Ambiente,4244
39,2008,Servicios de Seguridad,18952
40,2008,Servicios de Transporte,1399
41,2008,Servicios Personales,27675
42,2008,Servicios Sociales,19470
43,2008,Veterinaria,10445
44,2009,"Agricultura, Silvicultura y Pesca",17958
45,2009,Arquitectura y Construcción,41370
46,2009,Artes,36674
47,2009,Ciencias de la Vida,7051
48,2009,Ciencias Físicas,10266
49,2009,Ciencias Sociales y del Comportamiento,40187
50,2009,Derecho,48154
51,2009,Enseñanza Comercial y Administración,138265
52,2009,Formación de Personal Docente y Ciencias de la Educación,126741
53,2009,Humanidades,13413
54,2009,Industria y Producción,9016
55,2009,Informática,45051
56,2009,Ingeniería y Profesiones Afines,106796
57,2009,Matemáticas y Estadísticas,2299
58,2009,Medicina,145254
59,2009,Periodismo e Información,7815
60,2009,Protección del Medio Ambiente,4490
61,2009,Servicios de Seguridad,26508
62,2009,Servicios de Transporte,1380
63,2009,Servicios Personales,30530
64,2009,Servicios Sociales,21924
65,2009,Veterinaria,10577
66,2010,"Agricultura, Silvicultura y Pesca",17919
67,2010,Arquitectura y Construcción,44194
68,2010,Artes,38969
69,2010,Ciencias de la Vida,7358
70,2010,Ciencias Físicas,10441
71,2010,Ciencias Sociales y del Comportamiento,41313
72,2010,Derecho,46978
73,2010,Enseñanza Comercial y Administración,152806
74,2010,Formación de Personal Docente y Ciencias de la Educación,137835
75,2010,Humanidades,14213
76,2010,Industria y Producción,9876
77,2010,Informática,48959
78,2010,Ingeniería y Profesiones Afines,117146
79,2010,Matemáticas y Estadísticas,2317
80,2010,Medicina,172030
81,2010,Periodismo e Información,7725
82,2010,Protección del Medio Ambiente,4600
83,2010,Servicios de Seguridad,34871
84,2010,Servicios de Transporte,1366
85,2010,Servicios Personales,35137
86,2010,Servicios Sociales,26021
87,2010,Veterinaria,10546
88,2011,"Agricultura, Silvicultura y Pesca",17143
89,2011,Arquitectura y Construcción,46909
90,2011,Artes,39797
91,2011,Ciencias de la Vida,7261
92,2011,Ciencias Físicas,11153
93,2011,Ciencias Sociales y del Comportamiento,43034
94,2011,Derecho,45365
95,2011,Enseñanza Comercial y Administración,166925
96,2011,Formación de Personal Docente y Ciencias de la Educación,150333
97,2011,Humanidades,14492
98,2011,Industria y Producción,11363
99,2011,Informática,49924
100,2011,Ingeniería y Profesiones Afines,126152
101,2011,Matemáticas y Estadísticas,2367
102,2011,Medicina,197230
103,2011,Periodismo e Información,7649
104,2011,Protección del Medio Ambiente,4778
105,2011,Servicios de Seguridad,45199
106,2011,Servicios de Transporte,1355
107,2011,Servicios Personales,38085
108,2011,Servicios Sociales,29188
109,2011,Veterinaria,10641
110,2012,"Agricultura, Silvicultura y Pesca",16568
111,2012,Arquitectura y Construcción,50195
112,2012,Artes,38662
113,2012,Ciencias de la Vida,7229
114,2012,Ciencias Físicas,11538
115,2012,Ciencias Sociales y del Comportamiento,44452
116,2012,Derecho,44392
117,2012,Enseñanza Comercial y Administración,179272
118,2012,Formación de Personal Docente y Ciencias de la Educación,155360
119,2012,Humanidades,14055
120,2012,Industria y Producción,13274
121,2012,Informática,48400
122,2012,Ingeniería y Profesiones Afines,131302
123,2012,Matemáticas y Estadísticas,2190
124,2012,Medicina,215287
125,2012,Periodismo e Información,7374
126,2012,Protección del Medio Ambiente,4669
127,2012,Servicios de Seguridad,58334
128,2012,Servicios de Transporte,1252
129,2012,Servicios Personales,38930
130,2012,Servicios Sociales,31008
131,2012,Veterinaria,10490
132,2013,"Agricultura, Silvicultura y Pesca",16401
133,2013,Arquitectura y Construcción,55232
134,2013,Artes,37960
135,2013,Ciencias de la Vida,7209
136,2013,Ciencias Físicas,13210
137,2013,Ciencias Sociales y del Comportamiento,46437
138,2013,Derecho,44114
139,2013,Enseñanza Comercial y Administración,192495
140,2013,Formación de Personal Docente y Ciencias de la Educación,153801
141,2013,Humanidades,14088
142,2013,Industria y Producción,19346
143,2013,Informática,47804
144,2013,Ingeniería y Profesiones Afines,140387
145,2013,Matemáticas y Estadísticas,2300
146,2013,Medicina,222695
147,2013,Periodismo e Información,7468
148,2013,Protección del Medio Ambiente,4836
149,2013,Servicios de Seguridad,74994
150,2013,Servicios de Transporte,1265
151,2013,Servicios Personales,38503
152,2013,Servicios Sociales,33387
153,2013,Veterinaria,10439
154,2014,"Agricultura, Silvicultura y Pesca",15726
155,2014,Arquitectura y Construcción,58045
156,2014,Artes,36581
157,2014,Ciencias de la Vida,7318
158,2014,Ciencias Físicas,14279
159,2014,Ciencias Sociales y del Comportamiento,47037
160,2014,Derecho,43681
161,2014,Enseñanza Comercial y Administración,204548
162,2014,Formación de Personal Docente y Ciencias de la Educación,147789
163,2014,Humanidades,14000
164,2014,Industria y Producción,23273
165,2014,Informática,46724
166,2014,Ingeniería y Profesiones Afines,147270
167,2014,Matemáticas y Estadísticas,2231
168,2014,Medicina,227407
169,2014,Periodismo e Información,7451
170,2014,Protección del Medio Ambiente,4879
171,2014,Servicios de Seguridad,81092
172,2014,Servicios de Transporte,1118
173,2014,Servicios Personales,39286
174,2014,Servicios Sociales,35054
175,2014,Veterinaria,10341
176,2015,"Agricultura, Silvicultura y Pesca",15575
177,2015,Arquitectura y Construcción,61578
178,2015,Artes,35811
