,cat_periodo,tipo_inst_1,tipo_inst_2,nivel_carrera_2,total_alumnos
0,2007,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,86838
1,2007,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,99345
2,2007,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,56779
3,2007,Universidades,Universidades CRUCH,Carreras Profesionales,255071
4,2007,Universidades,Universidades CRUCH,Carreras Técnicas,10614
5,2007,Universidades,Universidades CRUCH,Doctorado,2822
6,2007,Universidades,Universidades CRUCH,Magister,12420
7,2007,Universidades,Universidades CRUCH,Postítulo,5057
8,2007,Universidades,Universidades Privadas,Carreras Profesionales,228120
9,2007,Universidades,Universidades Privadas,Carreras Técnicas,11577
10,2007,Universidades,Universidades Privadas,Doctorado,207
11,2007,Universidades,Universidades Privadas,Magister,5244
12,2007,Universidades,Universidades Privadas,Postítulo,2744
13,2008,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,95891
14,2008,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,12
15,2008,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,105103
16,2008,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,57745
17,2008,Institutos Profesionales,Institutos Profesionales,Postítulo,22
18,2008,Universidades,Universidades CRUCH,Carreras Profesionales,259865
19,2008,Universidades,Universidades CRUCH,Carreras Técnicas,11231
20,2008,Universidades,Universidades CRUCH,Doctorado,3063
21,2008,Universidades,Universidades CRUCH,Magister,14930
22,2008,Universidades,Universidades CRUCH,Postítulo,6069
23,2008,Universidades,Universidades Privadas,Carreras Profesionales,242465
24,2008,Universidades,Universidades Privadas,Carreras Técnicas,11049
25,2008,Universidades,Universidades Privadas,Doctorado,566
26,2008,Universidades,Universidades Privadas,Magister,7515
27,2008,Universidades,Universidades Privadas,Postítulo,4271
28,2009,Centros de Formación Técnica,Centros de Formación Técnica,Carreras Técnicas,110007
29,2009,Centros de Formación Técnica,Centros de Formación Técnica,Postítulo,14
30,2009,Institutos Profesionales,Institutos Profesionales,Carreras Profesionales,117809
31,2009,Institutos Profesionales,Institutos Profesionales,Carreras Técnicas,71788
32,2009,Institutos Profesionales,Institutos Profesionales,Postítulo,25
