,cat_periodo,tipo_inst_1,tipo_inst_2,total_alumnos
0,2007,Centros de Formación Técnica,Centros de Formación Técnica,43912
1,2007,Institutos Profesionales,Institutos Profesionales,68128
2,2007,Universidades,Universidades CRUCH,69426
3,2007,Universidades,Universidades Privadas,74853
4,2008,Centros de Formación Técnica,Centros de Formación Técnica,47068
5,2008,Institutos Profesionales,Institutos Profesionales,68734
6,2008,Universidades,Universidades CRUCH,71219
7,2008,Universidades,Universidades Privadas,83049
8,2009,Centros de Formación Técnica,Centros de Formación Técnica,53216
9,2009,Institutos Profesionales,Institutos Profesionales,81204
10,2009,Universidades,Universidades CRUCH,73440
11,2009,Universidades,Universidades Privadas,92678
12,2010,Centros de Formación Técnica,Centros de Formación Técnica,63088
13,2010,Institutos Profesionales,Institutos Profesionales,95221
14,2010,Universidades,Universidades CRUCH,75860
15,2010,Universidades,Universidades Privadas,100354
16,2011,Centros de Formación Técnica,Centros de Formación Técnica,64036
17,2011,Institutos Profesionales,Institutos Profesionales,105762
18,2011,Universidades,Universidades CRUCH,73120
19,2011,Universidades,Universidades Privadas,102174
20,2012,Centros de Formación Técnica,Centros de Formación Técnica,62576
21,2012,Institutos Profesionales,Institutos Profesionales,111783
22,2012,Universidades,Universidades CRUCH,73363
23,2012,Universidades,Universidades Privadas,102415
24,2013,Centros de Formación Técnica,Centros de Formación Técnica,64740
25,2013,Institutos Profesionales,Institutos Profesionales,127867
26,2013,Universidades,Universidades CRUCH,77892
27,2013,Universidades,Universidades Privadas,96098
28,2014,Centros de Formación Técnica,Centros de Formación Técnica,65945
29,2014,Institutos Profesionales,Institutos Profesionales,130002
30,2014,Universidades,Universidades CRUCH,79435
31,2014,Universidades,Universidades Privadas,90405
32,2015,Centros de Formación Técnica,Centros de Formación Técnica,63557
33,2015,Institutos Profesionales,Institutos Profesionales,125795
34,2015,Universidades,Universidades CRUCH,83326
35,2015,Universidades,Universidades Privadas,89967
36,2016,Centros de Formación Técnica,Centros de Formación Técnica,59432
37,2016,Institutos Profesionales,Institutos Profesionales,125032
38,2016,Universidades,Universidades CRUCH,85251
39,2016,Universidades,Universidades Privadas,94213
40,2017,Centros de Formación Técnica,Centros de Formación Técnica,60044
41,2017,Institutos Profesionales,Institutos Profesionales,120479
42,2017,Universidades,Universidades CRUCH,86080
43,2017,Universidades,Universidades Privadas,97278
44,2018,Centros de Formación Técnica,Centros de Formación Técnica,59210
45,2018,Institutos Profesionales,Institutos Profesionales,122365
46,2018,Universidades,Universidades CRUCH,94948
47,2018,Universidades,Universidades Privadas,95954
48,2019,Centros de Formación Técnica,Centros de Formación Técnica,60912
49,2019,Institutos Profesionales,Institutos Profesionales,123223
50,2019,Universidades,Universidades CRUCH,99087
51,2019,Universidades,Universidades Privadas,83183
52,2020,Centros de Formación Técnica,Centros de Formación Técnica,56163
53,2020,Institutos Profesionales,Institutos Profesionales,110852
54,2020,Universidades,Universidades CRUCH,94300
55,2020,Universidades,Universidades Privadas,71144
56,2021,Centros de Formación Técnica,Centros de Formación Técnica,58308
57,2021,Institutos Profesionales,Institutos Profesionales,122418
58,2021,Universidades,Universidades CRUCH,99206
59,2021,Universidades,Universidades Privadas,83210
60,2022,Centros de Formación Técnica,Centros de Formación Técnica,56032
61,2022,Institutos Profesionales,Institutos Profesionales,130299
62,2022,Universidades,Universidades CRUCH,95952
63,2022,Universidades,Universidades Privadas,73551
64,2023,Centros de Formación Técnica,Centros de Formación Técnica,60193
65,2023,Institutos Profesionales,Institutos Profesionales,135951
66,2023,Universidades,Universidades CRUCH,105252
67,2023,Universidades,Universidades Privadas,82437
68,2024,Centros de Formación Técnica,Centros de Formación Técnica,66776
69,2024,Institutos Profesionales,Institutos Profesionales,130554
70,2024,Universidades,Universidades CRUCH,118950
71,2024,Universidades,Universidades Privadas,87264
