cat_periodo,sector_macro,familia_carrera,total_alumnos
2007,Administración de Empresas y Derecho,Administración de Empresas e Ing. Asociadas,13406
2007,Administración de Empresas y Derecho,Administración Pública,1951
2007,Administración de Empresas y Derecho,Bachillerato y/o Licenciatura en Administración y Comercio,150
2007,Administración de Empresas y Derecho,Comunicación Empresarial y Organizacional,148
2007,Administración de Empresas y Derecho,Contador Auditor,17607
2007,Administración de Empresas y Derecho,Criminalística,8529
2007,Administración de Empresas y Derecho,Derecho,32980
2007,Administración de Empresas y Derecho,Doctorado en Administración y Comercio,83
2007,Administración de Empresas y Derecho,Doctorado en Derecho,104
2007,Administración de Empresas y Derecho,Ingeniería Comercial,25180
2007,Administración de Empresas y Derecho,Ingeniería en Administración Jurídica,17
2007,Administración de Empresas y Derecho,Ingeniería en Comercio Exterior,1986
2007,Administración de Empresas y Derecho,Ingeniería en Control de Gestión,1080
2007,Administración de Empresas y Derecho,Ingeniería en Finanzas,471
2007,Administración de Empresas y Derecho,Ingeniería en Gestión Pública,369
2007,Administración de Empresas y Derecho,Ingeniería en Gestión y Control de Calidad,253
2007,Administración de Empresas y Derecho,Ingeniería en Logística,389
2007,Administración de Empresas y Derecho,Ingeniería en Marketing,623
2007,Administración de Empresas y Derecho,Ingeniería en Recursos Humanos,844
2007,Administración de Empresas y Derecho,Magister en Administración y Comercio,5039
2007,Administración de Empresas y Derecho,Magister en Ciencias Sociales,244
2007,Administración de Empresas y Derecho,Magister en Derecho,850
2007,Administración de Empresas y Derecho,Otros Profesionales de Administración y Comercio,155
2007,Administración de Empresas y Derecho,Otros Profesionales de Ciencias Sociales,13
2007,Administración de Empresas y Derecho,Otros Técnicos de Administración y Comercio,9
2007,Administración de Empresas y Derecho,Postítulo en Administración y Comercio,817
2007,Administración de Empresas y Derecho,Postítulo en Ciencias Sociales,25
2007,Administración de Empresas y Derecho,Postítulo en Derecho,239
2007,Administración de Empresas y Derecho,Publicidad,6042
2007,Administración de Empresas y Derecho,Relaciones Públicas,3130
2007,Administración de Empresas y Derecho,Secretariado Bilingüe,1415
2007,Administración de Empresas y Derecho,Secretariado Computacional,929
2007,Administración de Empresas y Derecho,Secretariado Ejecutivo,1053
2007,Administración de Empresas y Derecho,Técnico Agente o Visitador Médico,823
2007,Administración de Empresas y Derecho,Técnico en Administración de Empresas,11461
2007,Administración de Empresas y Derecho,Técnico en Administración de Recursos Humanos y Personal,1038
2007,Administración de Empresas y Derecho,Técnico en Administración de Ventas,474
2007,Administración de Empresas y Derecho,Técnico en Administración en Marketing,103
2007,Administración de Empresas y Derecho,Técnico en Administración Financiera y Finanzas,2355
2007,Administración de Empresas y Derecho,Técnico en Administración Pública o Municipal,395
2007,Administración de Empresas y Derecho,Técnico en Comercio Exterior,3359
2007,Administración de Empresas y Derecho,Técnico en Contabilidad Computacional,337
2007,Administración de Empresas y Derecho,Técnico en Contabilidad General,3616
2007,Administración de Empresas y Derecho,Técnico en Contabilidad Tributaria,38
2007,Administración de Empresas y Derecho,Técnico en Gestión Previsional,28
2007,Administración de Empresas y Derecho,Técnico en Gestión y Control de Calidad,199
2007,Administración de Empresas y Derecho,Técnico en Logística,921
2007,Administración de Empresas y Derecho,Técnico en Producción de Eventos,623
2007,Administración de Empresas y Derecho,Técnico en Publicidad,191
2007,Administración de Empresas y Derecho,Técnico en Relaciones Públicas,773
2007,Administración de Empresas y Derecho,Técnico Jurídico,11594
2007,Administración de Empresas y Derecho,"Técnico Perito Judicial, Forense o en Criminalística",9157
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Agronomía,8232
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Doctorado en Agropecuaria,224
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Ingeniería Agrícola,1763
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Ingeniería de Ejecución Forestal,108
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Ingeniería en Acuicultura y Pesca,1983
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Ingeniería en Vitivinicultura,23
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Ingeniería Forestal,1691
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Magister en Administración y Comercio,17
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Magister en Agropecuaria,436
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Medicina Veterinaria,9101
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Otros Técnicos de Administración y Comercio,26
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Postítulo en Agropecuaria,16
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Técnico Agropecuario,2460
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Técnico en Acuicultura y Pesca,840
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Técnico en Vitivinicultura y/o Enología,340
2007,"Agricultura, Silvicultura, Pesca y Veterinaria",Técnico Veterinario,812
2007,Artes y Humanidades,Actuación y Teatro,3057
2007,Artes y Humanidades,Animación Digital,222
2007,Artes y Humanidades,Arqueología,142
2007,Artes y Humanidades,Artes y Licenciatura en Artes,3444
2007,Artes y Humanidades,Bachillerato y/o Licenciatura en Humanidades,1075
2007,Artes y Humanidades,Comunicación Audiovisual y/o Multimedia,3463
2007,Artes y Humanidades,Diseño,4898
2007,Artes y Humanidades,Diseño de Ambientes e Interiores,1237
2007,Artes y Humanidades,Diseño de Vestuario,1513
2007,Artes y Humanidades,Diseño Gráfico,8130
2007,Artes y Humanidades,Diseño Teatral,44
2007,Artes y Humanidades,Doctorado en Ciencias Sociales,75
2007,Artes y Humanidades,Doctorado en Humanidades,338
2007,Artes y Humanidades,Filosofía,528
2007,Artes y Humanidades,Fotografía,765
2007,Artes y Humanidades,Historia,2341
2007,Artes y Humanidades,Licenciatura en Letras y Literatura,1537
2007,Artes y Humanidades,Magister en Arte y Arquitectura,171
2007,Artes y Humanidades,Magister en Ciencias Sociales,280
2007,Artes y Humanidades,Magister en Humanidades,797
2007,Artes y Humanidades,"Música, Canto o Danza",2279
2007,Artes y Humanidades,Otros Profesionales de Arte y Arquitectura,64
2007,Artes y Humanidades,Otros Profesionales de Humanidades,332
2007,Artes y Humanidades,Otros Técnicos de Arte y Arquitectura,521
2007,Artes y Humanidades,Otros Técnicos de Humanidades,15
2007,Artes y Humanidades,Postítulo en Arte y Arquitectura,196
2007,Artes y Humanidades,Postítulo en Humanidades,400
2007,Artes y Humanidades,Realizador de Cine y Televisión,821
2007,Artes y Humanidades,Técnico en Ambientes e Interiores,177
2007,Artes y Humanidades,Técnico en Comunicación Audiovisual,1029
2007,Artes y Humanidades,Técnico en Diseño de Vestuario,341
2007,Artes y Humanidades,Técnico en Diseño Gráfico,1480
2007,Artes y Humanidades,Técnico en Fotografía,380
2007,Artes y Humanidades,Técnico en Producción Gráfica y Multimedia,769
2007,Artes y Humanidades,Técnico en Sonido,1767
2007,Artes y Humanidades,Técnico en Teatro,67
2007,Artes y Humanidades,Técnico en Traducción e Interpretariado,1334
2007,Artes y Humanidades,Traducción e Interpretación,3112
2007,"Ciencias naturales, matemáticas y estadística",Analista Químico,513
2007,"Ciencias naturales, matemáticas y estadística",Bachillerato y/o Licenciatura en Ciencias Básicas,2768
2007,"Ciencias naturales, matemáticas y estadística",Biología,1540
2007,"Ciencias naturales, matemáticas y estadística",Biología Marina y Ecología Marina,1532
2007,"Ciencias naturales, matemáticas y estadística",Bioquímica,1732
2007,"Ciencias naturales, matemáticas y estadística",Biotecnología,196
2007,"Ciencias naturales, matemáticas y estadística",Doctorado en Ciencias Básicas,1201
2007,"Ciencias naturales, matemáticas y estadística",Doctorado en Tecnología,63
2007,"Ciencias naturales, matemáticas y estadística",Física y Astronomía,1023
2007,"Ciencias naturales, matemáticas y estadística",Geología,780
2007,"Ciencias naturales, matemáticas y estadística",Ingeniería Civil en Geomática y Geomensura,8
