"cat_periodo","area_carrera_generica","total_estudiantes"
2007,"Artes","64"
2008,"Artes","77"
2009,"Artes","85"
2010,"Artes","115"
2010,"Servicios Personales","45"
2011,"Artes","131"
2011,"Servicios Personales","76"
2012,"Artes","122"
2012,"Servicios Personales","107"
2013,"Artes","139"
2013,"Servicios Personales","281"
2014,"Artes","195"
2014,"Servicios Personales","421"
2015,"Arquitectura y Construcción","1"
2015,"Artes","273"
2015,"Servicios Personales","487"
2016,"Arquitectura y Construcción","3"
2016,"Artes","325"
2016,"Servicios Personales","516"
2017,"Arquitectura y Construcción","3"
2017,"Artes","428"
2017,"Servicios Personales","582"
2018,"Arquitectura y Construcción","6"
2018,"Artes","620"
2018,"Servicios Personales","697"
2019,"Arquitectura y Construcción","8"
2019,"Artes","762"
2019,"Servicios Personales","1043"
2020,"Arquitectura y Construcción","8"
2020,"Artes","890"
2020,"Servicios Personales","1186"
2021,"Arquitectura y Construcción","8"
2021,"Artes","1098"
2021,"Servicios Personales","1290"
2022,"Arquitectura y Construcción","12"
2022,"Artes","1221"
2022,"Servicios Personales","1909"
2023,"Arquitectura y Construcción","11"
2023,"Artes","1382"
2023,"Servicios Personales","2344"
2024,"Arquitectura y Construcción","14"
2024,"Artes","1416"
2024,"Servicios Personales","2512"
