"cat_periodo","nomb_carrera","total_estudiantes"
2007,"ILUSTRACION","64"
2008,"ILUSTRACION","77"
2009,"ILUSTRACION","85"
2010,"ESTETICA PROFESIONAL","45"
2010,"ILUSTRACION","115"
2011,"ESTETICA PROFESIONAL","76"
2011,"ILUSTRACION","131"
2012,"ESTETICA PROFESIONAL","107"
2012,"ILUSTRACION","122"
2013,"ESTETICA PROFESIONAL","281"
2013,"ILUSTRACION","139"
2014,"ESTETICA PROFESIONAL","421"
2014,"ILUSTRACION","195"
2015,"ESTETICA PROFESIONAL","487"
2015,"ILUSTRACION","273"
2015,"PLANIFICACION URBANA","1"
2016,"ESTETICA PROFESIONAL","516"
2016,"ILUSTRACION","325"
2016,"PLANIFICACION URBANA","3"
2017,"ESTETICA PROFESIONAL","582"
2017,"ILUSTRACION","428"
2017,"PLANIFICACION URBANA","3"
2018,"CREACION AUDIOVISUAL","31"
2018,"ESTETICA PROFESIONAL","697"
2018,"ILUSTRACION","589"
2018,"PLANIFICACION URBANA","6"
2019,"CREACION AUDIOVISUAL","62"
2019,"ESTETICA PROFESIONAL","1043"
2019,"ILUSTRACION","700"
2019,"PLANIFICACION URBANA","8"
2020,"CREACION AUDIOVISUAL","90"
2020,"ESTETICA PROFESIONAL","1186"
2020,"ILUSTRACION","800"
2020,"PLANIFICACION URBANA","8"
2021,"CREACION AUDIOVISUAL","111"
2021,"ESTETICA PROFESIONAL","1290"
2021,"ILUSTRACION","987"
2021,"PLANIFICACION URBANA","8"
2022,"CREACION AUDIOVISUAL","138"
2022,"ESTETICA PROFESIONAL","1909"
2022,"ILUSTRACION","1083"
2022,"PLANIFICACION URBANA","12"
2023,"CREACION AUDIOVISUAL","146"
2023,"ESTETICA PROFESIONAL","2344"
2023,"ILUSTRACION","1204"
2023,"OFICIOS CREATIVOS","32"
2023,"PLANIFICACION URBANA","11"
2024,"CREACION AUDIOVISUAL","156"
2024,"ESTETICA PROFESIONAL","2512"
2024,"ILUSTRACION","1211"
2024,"OFICIOS CREATIVOS","49"
2024,"PLANIFICACION URBANA","14"
